,url,img,bank,loan_name,loan_type,loan_info,required_min_income,required_applicant,required_age,cost_late_fee_penalty
0,https://ringgitplus.com/en/personal-loan/AEON-iCASH-Personal-Financing.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_AEON.png,aeon,aeon_icash_personal_financing,,"{""RM1,000 - RM100,000"": [""6 to 84 months"", ""min. RM24,000"", ""7.92% p.a. - 18% p.a.""]}",1500.0,Malaysians | Salaried employee | Government employee,18 to 65 years old,
1,https://ringgitplus.com/en/personal-loan/Affin-Islamic-Personal-Financing-i.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_AFFN.png,affin_islamic_bank,affin_islamic_personal_financing-i,Unsecured Islamic Financing,"{""RM2,500 - RM150,000"": [""24 to 120 months"", ""min. RM18,000"", ""5.5% p.a.""]}",1500.0,Malaysians | Confirmed and Permanent Staff | Salaried employee | Government-Linked Company employee,21 to 58 years old,
2,https://ringgitplus.com/en/personal-loan/Al-Rajhi-Personal-Financing-i.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_ARAJ.png,al_rajhi_bank,al_rajhi_personal_financing-i,Unsecured Islamic Financing,"{""RM10,000 - RM150,000"": [""24 to 96 months"", ""min. RM180,000"", ""4.99% p.a.""]}",5000.0,Malaysians,25 to 60 years old,
3,https://ringgitplus.com/en/personal-loan/Alliance-Bank-CashVantage-Personal-Financing-i.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_ALLI.png,alliance_bank,alliance_bank_cashvantage_personal_financing-i,Unsecured Islamic Financing,"{""RM5,000 - RM150,000"": [""12 to 84 months"", ""min. RM36,000"", ""4.99% p.a. - 8.38% p.a.""]}",3000.0,Any nationality | Permanent Residents,21 to 60 years old,
4,https://ringgitplus.com/en/personal-loan/Alliance-Bank-CashFirst-Personal-Loan.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_ALLI.png,alliance_bank,alliance_bank_cashfirst_personal_loan,Unsecured Loan,"{""RM5,000 - RM150,000"": [""12 to 84 months"", ""min. RM36,000"", ""4.99% p.a. - 8.38% p.a.""]}",3000.0,Any nationality | Permanent Residents,21 to 60 years old,
5,https://ringgitplus.com/en/personal-loan/AmBank-Islamic-AmMoneyLine-Facility-i.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_AMBK.png,ambank,ambank_islamic_ammoneyline_facility-i,Unsecured Islamic Financing,"{""RM2,000 - RM10,000"": [""12 to 60 months"", ""min. RM36,000"", ""9.99% p.a.""], ""RM21,000 - RM50,000"": [""12 to 60 months"", ""min. RM36,000"", ""8.5% p.a.""], ""RM51,000 - RM100,000"": [""12 to 60 months"", ""min. RM36,000"", ""8% p.a.""]}",3000.0,Malaysians,21 to 60 years old,
6,https://ringgitplus.com/en/personal-loan/AmBank-AmMoneyLine.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_AMBK.png,ambank,ambank_ammoneyline,Unsecured Loan,"{""RM2,000 - RM10,000"": [""12 to 60 months"", ""min. RM36,000"", ""9.99% p.a.""], ""RM21,000 - RM50,000"": [""12 to 60 months"", ""min. RM36,000"", ""8.5% p.a.""], ""RM51,000 - RM100,000"": [""12 to 60 months"", ""min. RM36,000"", ""8% p.a.""]}",3000.0,Malaysians,21 to 60 years old,
7,https://ringgitplus.com/en/personal-loan/BSN-MyRinggit-Executive-1.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_BSN.png,bsn,bsn_myringgit_executive-1,Unsecured Loan,"{""RM10,000 - RM25,000"": [""24 to 120 months"", ""RM36,000 to RM60,000"", ""8.5% p.a.""], ""RM10,000 - RM70,000"": [""24 to 120 months"", ""RM60,000 to RM120,000"", ""7% p.a.""], ""RM10,000 - RM200,000"": [""24 to 120 months"", ""min. RM120,000"", ""6% p.a.""]}",3000.0,Malaysians | BSN Giro/i Account holders | Salaried employee | Executive | Government-Linked Company employee | Multi-National Corporation employee | Public Listed Company employee | GLC employee | Professional,21 to 55 years old,
8,https://ringgitplus.com/en/personal-loan/Bank-Islam-Flat-Rate-Personal-Financing-i-Package.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_BKIS.png,bank_islam,bank_islam_flat_rate_personal_financing-i_package,Unsecured Islamic Financing,"{""RM10,000 - RM300,000"": [""12 to 120 months"", ""min. RM24,000"", ""4.99% p.a.""]}",2000.0,Malaysians | Government employee | Government-Linked Company employee | Public Listed Company employee | Salaried employee,18 to 60 years old,
9,https://ringgitplus.com/en/personal-loan/Bank-Islam-Floating-Rate-Personal-Financing-i-Package.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_BKIS.png,bank_islam,bank_islam_floating_rate_personal_financing-i_package,Unsecured Islamic Financing,"{""RM10,000 - RM300,000"": [""12 to 120 months"", ""min. RM24,000"", ""4.42% p.a. - 4.52% p.a.""]}",2000.0,Malaysians | Government employee | Government-Linked Company employee | Public Listed Company employee | Salaried employee,18 to 60 years old,
